id_registro,id_usuario,id_contexto,fecha_hora,valencia,activacion,comentario,comentario_limpio,valencia_limpia,error_conversion_valencia,valencia_valida,error_rango_valencia,activacion_limpia,error_conversion_activacion,activacion_valida,error_rango_activacion,fecha_hora_limpia,error_fecha,id_usuario_limpio,error_usuario,usuario_valido,id_contexto_limpio,error_contexto,contexto_valido,duplicado_id_registro,error_duplicado,duplicado_fila_completa,cantidad_errores,registro_valido
2068,18,6,2026-04-23 13:34,0.54,-0.24,Avanzó sin mayores dificultades,Avanzó sin mayores dificultades,0.54,,True,,-0.24,,True,,2026-04-23 13:34:00,,18,,True,6,,True,False,,False,0,True
2062,19,7,2026-04-17 14:03,0.41,0.01,Se mostró motivado durante la tarea,Se mostró motivado durante la tarea,0.41,,True,,0.01,,True,,2026-04-17 14:03:00,,19,,True,7,,True,False,,False,0,True
4217,20,8,2026-04-22 16:17,-0.38,0.66,Tuvo dificultades para avanzar,Tuvo dificultades para avanzar,-0.38,,True,,0.66,,True,,2026-04-22 16:17:00,,20,,True,8,,True,False,,False,0,True
5916,21,9,2026-04-23 11:14,0.48,sin_dato,Comprendió el problema planteado,Comprendió el problema planteado,0.48,,True,,,activacion no numérico: sin_dato,False,activacion no disponible para validar,2026-04-23 11:14:00,,21,,True,9,,True,False,,False,2,False
1242,22,10,2026-05-20 16:29,0.12,-0.03,Registró una respuesta breve,Registró una respuesta breve,0.12,,True,,-0.03,,True,,2026-05-20 16:29:00,,22,,True,10,,True,False,,False,0,True
5821,23,11,2026-05-19 16:22,-0.44,0.37,Tuvo dificultades para avanzar,Tuvo dificultades para avanzar,-0.44,,True,,0.37,,True,,2026-05-19 16:22:00,,23,,True,11,,True,False,,False,0,True
2057,24,12,2026-04-01 11:40,-0.24,0.03,Analizó ejemplos antes de resolver,Analizó ejemplos antes de resolver,-0.24,,True,,0.03,,True,,2026-04-01 11:40:00,,24,,True,12,,True,False,,False,0,True
4100,25,1,2026-05-29 16:59,-0.64,0.44,Tuvo dificultades para avanzar,Tuvo dificultades para avanzar,-0.64,,True,,0.44,,True,,2026-05-29 16:59:00,,25,,True,1,,True,False,,False,0,True
3399,1,2,2026-05-29 08:06,-0.29,0.51,Completó una etapa intermedia,Completó una etapa intermedia,-0.29,,True,,0.51,,True,,2026-05-29 08:06:00,,1,,True,2,,True,False,,False,0,True
5594,2,3,2026-04-05 09:55,0.98,-0.93,Encontró una solución funcional,Encontró una solución funcional,0.98,,True,,-0.93,,True,,2026-04-05 09:55:00,,2,,True,3,,True,False,,False,0,True
2067,3,4,2026-04-03 11:00,0.25,-0.22,Revisó materiales del curso,Revisó materiales del curso,0.25,,True,,-0.22,,True,,2026-04-03 11:00:00,,3,,True,4,,True,False,,False,0,True
2664,4,5,2026-05-23 08:04,0.37,0.45,Comprendió el problema planteado,Comprendió el problema planteado,0.37,,True,,0.45,,True,,2026-05-23 08:04:00,,4,,True,5,,True,False,,False,0,True
1677,5,6,2026-05-26 13:43,0.48,0.24,Recibió una devolución positiva,Recibió una devolución positiva,0.48,,True,,0.24,,True,,2026-05-26 13:43:00,,5,,True,6,,True,False,,False,0,True
854,6,7,2026-05-20 16:24,0.43,-0.25,Terminó la actividad con seguridad,Terminó la actividad con seguridad,0.43,,True,,-0.25,,True,,2026-05-20 16:24:00,,6,,True,7,,True,False,,False,0,True
5630,7,8,2026-04-11 09:37,-0.91,0.85,Mostró frustración ante errores repetidos,Mostró frustración ante errores repetidos,-0.91,,True,,0.85,,True,,2026-04-11 09:37:00,,7,,True,8,,True,False,,False,0,True
3242,8,9,2026-04-14 14:03,0.26,-0.13,Continuó trabajando con apoyo parcial,Continuó trabajando con apoyo parcial,0.26,,True,,-0.13,,True,,2026-04-14 14:03:00,,8,,True,9,,True,False,,False,0,True
1929,9,10,2026-04-11 08:18,-0.50,0.67,Se bloqueó durante la ejecución del código,Se bloqueó durante la ejecución del código,-0.5,,True,,0.67,,True,,2026-04-11 08:18:00,,9,,True,10,,True,False,,False,0,True
1031,10,11,2026-05-22 15:15,0.31,0.15,Avanzó sin mayores dificultades,Avanzó sin mayores dificultades,0.31,,True,,0.15,,True,,2026-05-22 15:15:00,,10,,True,11,,True,False,,False,0,True
5764,11,12,2026-05-23 13:15,-0.50,-0.49,Se bloqueó durante la ejecución del código,Se bloqueó durante la ejecución del código,-0.5,,True,,-0.49,,True,,2026-05-23 13:15:00,,11,,True,12,,True,False,,False,0,True
329,12,1,2026-04-27 13:25,-0.07,0.06,Analizó ejemplos antes de resolver,Analizó ejemplos antes de resolver,-0.07,,True,,0.06,,True,,2026-04-27 13:25:00,,12,,True,1,,True,False,,False,0,True
5724,13,2,2026-04-30 12:05,-0.99,0.99,Mostró frustración ante errores repetidos,Mostró frustración ante errores repetidos,-0.99,,True,,0.99,,True,,2026-04-30 12:05:00,,13,,True,2,,True,False,,False,0,True
4005,14,3,2026-04-18 16:31,0.34,0.23,Recibió una devolución positiva,Recibió una devolución positiva,0.34,,True,,0.23,,True,,2026-04-18 16:31:00,,14,,True,3,,True,False,,False,0,True
2544,15,4,2026-05-20 14:21,-0.27,0.71,Completó una etapa intermedia,Completó una etapa intermedia,-0.27,,True,,0.71,,True,,2026-05-20 14:21:00,,15,,True,4,,True,False,,False,0,True
510,16,5,2026-04-18 12:46,-0.44,0.66,Mostró frustración ante errores repetidos,Mostró frustración ante errores repetidos,-0.44,,True,,0.66,,True,,2026-04-18 12:46:00,,16,,True,5,,True,False,,False,0,True
2731,17,6,2026-04-09 12:07,0.23,0.89,Registró una respuesta breve,Registró una respuesta breve,0.23,,True,,0.89,,True,,2026-04-09 12:07:00,,17,,True,6,,True,False,,False,0,True
4897,18,7,2026-04-10 08:44,-0.39,0.71,Se sintió presionado por el tiempo,Se sintió presionado por el tiempo,-0.39,,True,,0.71,,True,,2026-04-10 08:44:00,,18,,True,7,,True,False,,False,0,True
4160,19,8,2026-05-18 16:11,-0.10,0.36,Completó una etapa intermedia,Completó una etapa intermedia,-0.1,,True,,0.36,,True,,2026-05-18 16:11:00,,19,,True,8,,True,False,,False,0,True
1601,20,9,2026-05-02 12:46,-0.13,0.57,Registró una respuesta breve,Registró una respuesta breve,-0.13,,True,,0.57,,True,,2026-05-02 12:46:00,,20,,True,9,,True,False,,False,0,True
2450,21,10,2026-05-23 14:09,-0.20,0.09,Revisó materiales del curso,Revisó materiales del curso,-0.2,,True,,0.09,,True,,2026-05-23 14:09:00,,21,,True,10,,True,False,,False,0,True
2925,22,11,2026-05-09 17:56,-0.17,-0.38,Completó una etapa intermedia,Completó una etapa intermedia,-0.17,,True,,-0.38,,True,,2026-05-09 17:56:00,,22,,True,11,,True,False,,False,0,True
3282,23,12,2026-04-13 09:09,-0.12,0.38,Completó una etapa intermedia,Completó una etapa intermedia,-0.12,,True,,0.38,,True,,2026-04-13 09:09:00,,23,,True,12,,True,False,,False,0,True
4536,24,1,2026-04-14 12:56,0.57,-0.19,Terminó la actividad con seguridad,Terminó la actividad con seguridad,0.57,,True,,-0.19,,True,,2026-04-14 12:56:00,,24,,True,1,,True,False,,False,0,True
1764,25,2,2026-05-20 08:28,-0.19,0.29,Realizó la actividad sin comentarios especiales,Realizó la actividad sin comentarios especiales,-0.19,,True,,0.29,,True,,2026-05-20 08:28:00,,25,,True,2,,True,False,,False,0,True
5016,1,3,2026-04-19 08:46,-0.58,0.66,Tuvo dificultades para avanzar,Tuvo dificultades para avanzar,-0.58,,True,,0.66,,True,,2026-04-19 08:46:00,,1,,True,3,,True,False,,False,0,True
1341,2,4,2026-05-18 10:01,0.35,-0.06,Recibió una devolución positiva,Recibió una devolución positiva,0.35,,True,,-0.06,,True,,2026-05-18 10:01:00,,2,,True,4,,True,False,,False,0,True
2589,3,5,2026-04-12 16:33,-0.26,0.35,Completó una etapa intermedia,Completó una etapa intermedia,-0.26,,True,,0.35,,True,,2026-04-12 16:33:00,,3,,True,5,,True,False,,False,0,True
3523,4,6,2026-04-10 13:43,0.15,0.36,Revisó materiales del curso,Revisó materiales del curso,0.15,,True,,0.36,,True,,2026-04-10 13:43:00,,4,,True,6,,True,False,,False,0,True
5092,5,7,2026-04-16 17:44,-0.05,0.24,Registró una respuesta breve,Registró una respuesta breve,-0.05,,True,,0.24,,True,,2026-04-16 17:44:00,,5,,True,7,,True,False,,False,0,True
2755,6,8,2026-04-19 08:00,0.21,-0.18,Registró una respuesta breve,Registró una respuesta breve,0.21,,True,,-0.18,,True,,2026-04-19 08:00:00,,6,,True,8,,True,False,,False,0,True
2729,7,9,2026-05-20 15:44,0.38,0.12,Comprendió el problema planteado,Comprendió el problema planteado,0.38,,True,,0.12,,True,,2026-05-20 15:44:00,,7,,True,9,,True,False,,False,0,True
5627,8,10,2026-04-03 13:34,-0.92,0.82,No logró completar la actividad a tiempo,No logró completar la actividad a tiempo,-0.92,,True,,0.82,,True,,2026-04-03 13:34:00,,8,,True,10,,True,False,,False,0,True
1126,9,11,2026-04-21 10:57,0.55,0.27,Comprendió el problema planteado,Comprendió el problema planteado,0.55,,True,,0.27,,True,,2026-04-21 10:57:00,,9,,True,11,,True,False,,False,0,True
453,10,12,2026-04-05 11:51,0.46,0.55,Comprendió el problema planteado,Comprendió el problema planteado,0.46,,True,,0.55,,True,,2026-04-05 11:51:00,,10,,True,12,,True,False,,False,0,True
4836,11,1,2026-04-21 15:59,0.34,0.91,Encontró una solución funcional,Encontró una solución funcional,0.34,,True,,0.91,,True,,2026-04-21 15:59:00,,11,,True,1,,True,False,,False,0,True
3166,12,2,2026-05-09 13:01,-0.47,0.38,Mostró frustración ante errores repetidos,Mostró frustración ante errores repetidos,-0.47,,True,,0.38,,True,,2026-05-09 13:01:00,,12,,True,2,,True,False,,False,0,True
732,13,3,2026-04-12 17:01,0.37,0.16,Recibió una devolución positiva,Recibió una devolución positiva,0.37,,True,,0.16,,True,,2026-04-12 17:01:00,,13,,True,3,,True,False,,False,0,True
1028,14,4,2026-05-15 16:09,0.22,0.26,Realizó la actividad sin comentarios especiales,Realizó la actividad sin comentarios especiales,0.22,,True,,0.26,,True,,2026-05-15 16:09:00,,14,,True,4,,True,False,,False,0,True
4195,15,5,2026-05-17 16:34,0.67,0.30,Se mostró motivado durante la tarea,Se mostró motivado durante la tarea,0.67,,True,,0.3,,True,,2026-05-17 16:34:00,,15,,True,5,,True,False,,False,0,True
2317,16,6,2026-05-20 08:19,0.39,0.39,Encontró una solución funcional,Encontró una solución funcional,0.39,,True,,0.39,,True,,2026-05-20 08:19:00,,16,,True,6,,True,False,,False,0,True
3283,17,7,2026-05-23 16:42,0.24,0.14,Registró una respuesta breve,Registró una respuesta breve,0.24,,True,,0.14,,True,,2026-05-23 16:42:00,,17,,True,7,,True,False,,False,0,True
4737,18,8,2026-04-11 17:05,-0.44,0.62,Mostró frustración ante errores repetidos,Mostró frustración ante errores repetidos,-0.44,,True,,0.62,,True,,2026-04-11 17:05:00,,18,,True,8,,True,False,,False,0,True
2644,19,9,2026-04-30 10:12,0.12,-0.60,Realizó la actividad sin comentarios especiales,Realizó la actividad sin comentarios especiales,0.12,,True,,-0.6,,True,,2026-04-30 10:12:00,,19,,True,9,,True,False,,False,0,True
32,20,10,2026-05-17 14:26,0.02,0.44,Registró una respuesta breve,Registró una respuesta breve,0.02,,True,,0.44,,True,,2026-05-17 14:26:00,,20,,True,10,,True,False,,False,0,True
1321,21,11,2026-04-13 13:41,0.41,-0.29,Comprendió el problema planteado,Comprendió el problema planteado,0.41,,True,,-0.29,,True,,2026-04-13 13:41:00,,21,,True,11,,True,False,,False,0,True
5029,22,12,2026-04-04 11:35,-0.17,0.57,Analizó ejemplos antes de resolver,Analizó ejemplos antes de resolver,-0.17,,True,,0.57,,True,,2026-04-04 11:35:00,,22,,True,12,,True,False,,False,0,True
1676,23,1,2026-04-02 12:30,-0.12,0.53,Continuó trabajando con apoyo parcial,Continuó trabajando con apoyo parcial,-0.12,,True,,0.53,,True,,2026-04-02 12:30:00,,23,,True,1,,True,False,,False,0,True
4927,24,2,2026-04-14 13:33,0.36,-0.11,Se mostró motivado durante la tarea,Se mostró motivado durante la tarea,0.36,,True,,-0.11,,True,,2026-04-14 13:33:00,,24,,True,2,,True,False,,False,0,True
1051,25,3,2026-04-07 13:21,0.26,-0.15,Registró una respuesta breve,Registró una respuesta breve,0.26,,True,,-0.15,,True,,2026-04-07 13:21:00,,25,,True,3,,True,False,,False,0,True
1372,1,4,2026-04-13 09:13,0.38,0.74,Terminó la actividad con seguridad,Terminó la actividad con seguridad,0.38,,True,,0.74,,True,,2026-04-13 09:13:00,,1,,True,4,,True,False,,False,0,True
4802,2,5,2026-04-11 10:39,0.43,-0.26,Avanzó sin mayores dificultades,Avanzó sin mayores dificultades,0.43,,True,,-0.26,,True,,2026-04-11 10:39:00,,2,,True,5,,True,False,,False,0,True
3610,3,6,2026-05-12 13:50,-0.43,0.61,Se sintió presionado por el tiempo,Se sintió presionado por el tiempo,-0.43,,True,,0.61,,True,,2026-05-12 13:50:00,,3,,True,6,,True,False,,False,0,True
5309,4,7,2026-05-04 16:44,-0.07,0.47,Revisó materiales del curso,Revisó materiales del curso,-0.07,,True,,0.47,,True,,2026-05-04 16:44:00,,4,,True,7,,True,False,,False,0,True
373,5,8,2026-04-28 13:07,0.16,0.54,Revisó materiales del curso,Revisó materiales del curso,0.16,,True,,0.54,,True,,2026-04-28 13:07:00,,5,,True,8,,True,False,,False,0,True
387,6,9,2026-05-27 09:57,-0.29,0.28,Completó una etapa intermedia,Completó una etapa intermedia,-0.29,,True,,0.28,,True,,2026-05-27 09:57:00,,6,,True,9,,True,False,,False,0,True
168,7,10,2026-04-12 10:51,0.27,-0.10,Completó una etapa intermedia,Completó una etapa intermedia,0.27,,True,,-0.1,,True,,2026-04-12 10:51:00,,7,,True,10,,True,False,,False,0,True
724,8,11,2026-04-04 10:08,-0.51,0.54,Tuvo dudas persistentes sobre la consigna,Tuvo dudas persistentes sobre la consigna,-0.51,,True,,0.54,,True,,2026-04-04 10:08:00,,8,,True,11,,True,False,,False,0,True
348,9,12,2026-05-06 08:56,-0.64,0.52,No logró completar la actividad a tiempo,No logró completar la actividad a tiempo,-0.64,,True,,0.52,,True,,2026-05-06 08:56:00,,9,,True,12,,True,False,,False,0,True
4075,10,1,2026-05-29 13:38,-0.62,0.59,No logró completar la actividad a tiempo,No logró completar la actividad a tiempo,-0.62,,True,,0.59,,True,,2026-05-29 13:38:00,,10,,True,1,,True,False,,False,0,True
2190,11,2,2026-04-12 10:48,-0.00,0.56,,Sin comentario,-0.0,,True,,0.56,,True,,2026-04-12 10:48:00,,11,,True,2,,True,False,,False,0,True
2012,12,3,2026-04-17 13:37,0.32,-0.27,Recibió una devolución positiva,Recibió una devolución positiva,0.32,,True,,-0.27,,True,,2026-04-17 13:37:00,,12,,True,3,,True,False,,False,0,True
1806,13,4,2026-04-08 12:16,0.24,0.06,Revisó materiales del curso,Revisó materiales del curso,0.24,,True,,0.06,,True,,2026-04-08 12:16:00,,13,,True,4,,True,False,,False,0,True
2700,14,5,2026-05-12 12:28,-0.40,0.65,Se sintió presionado por el tiempo,Se sintió presionado por el tiempo,-0.4,,True,,0.65,,True,,2026-05-12 12:28:00,,14,,True,5,,True,False,,False,0,True
2859,15,6,2026-04-11 14:13,0.26,-0.08,Realizó la actividad sin comentarios especiales,Realizó la actividad sin comentarios especiales,0.26,,True,,-0.08,,True,,2026-04-11 14:13:00,,15,,True,6,,True,False,,False,0,True
5683,16,7,2026-05-27 16:38,0.93,-0.89,Avanzó sin mayores dificultades,Avanzó sin mayores dificultades,0.93,,True,,-0.89,,True,,2026-05-27 16:38:00,,16,,True,7,,True,False,,False,0,True
2426,17,8,2026-05-13 08:15,0.65,0.22,Encontró una solución funcional,Encontró una solución funcional,0.65,,True,,0.22,,True,,2026-05-13 08:15:00,,17,,True,8,,True,False,,False,0,True
3942,18,9,2026-05-22 09:54,-0.75,0.91,Se sintió presionado por el tiempo,Se sintió presionado por el tiempo,-0.75,,True,,0.91,,True,,2026-05-22 09:54:00,,18,,True,9,,True,False,,False,0,True
5706,19,10,2026-04-03 16:44,-0.91,0.93,Tuvo dificultades para avanzar,Tuvo dificultades para avanzar,-0.91,,True,,0.93,,True,,2026-04-03 16:44:00,,19,,True,10,,True,False,,False,0,True
1370,20,11,2026-05-09 08:00,-0.21,0.80,Analizó ejemplos antes de resolver,Analizó ejemplos antes de resolver,-0.21,,True,,0.8,,True,,2026-05-09 08:00:00,,20,,True,11,,True,False,,False,0,True
5206,21,12,2026-05-30 08:45,0.44,-0.09,Terminó la actividad con seguridad,Terminó la actividad con seguridad,0.44,,True,,-0.09,,True,,2026-05-30 08:45:00,,21,,True,12,,True,False,,False,0,True
3723,22,1,2026-05-01 12:02,-0.42,0.58,Se sintió presionado por el tiempo,Se sintió presionado por el tiempo,-0.42,,True,,0.58,,True,,2026-05-01 12:02:00,,22,,True,1,,True,False,,False,0,True
2676,23,2,2026-05-29 10:23,0.40,0.50,Avanzó sin mayores dificultades,Avanzó sin mayores dificultades,0.4,,True,,0.5,,True,,2026-05-29 10:23:00,,23,,True,2,,True,False,,False,0,True
417,24,3,2026-04-04 16:15,0.16,0.18,Analizó ejemplos antes de resolver,Analizó ejemplos antes de resolver,0.16,,True,,0.18,,True,,2026-04-04 16:15:00,,24,,True,3,,True,False,,False,0,True
1770,25,4,2026-05-25 12:09,0.08,-0.46,Registró una respuesta breve,Registró una respuesta breve,0.08,,True,,-0.46,,True,,2026-05-25 12:09:00,,25,,True,4,,True,False,,False,0,True
4776,1,5,2026-04-19 12:15,0.98,0.98,Encontró una solución funcional,Encontró una solución funcional,0.98,,True,,0.98,,True,,2026-04-19 12:15:00,,1,,True,5,,True,False,,False,0,True
5842,2,6,2026-05-24 10:33,0.88,-0.89,Se mostró motivado durante la tarea,Se mostró motivado durante la tarea,0.88,,True,,-0.89,,True,,2026-05-24 10:33:00,,2,,True,6,,True,False,,False,0,True
2872,3,7,2026-05-18 11:56,-0.38,0.44,No logró completar la actividad a tiempo,No logró completar la actividad a tiempo,-0.38,,True,,0.44,,True,,2026-05-18 11:56:00,,3,,True,7,,True,False,,False,0,True
2788,4,8,2026-04-09 13:51,-0.59,0.49,Tuvo dudas persistentes sobre la consigna,Tuvo dudas persistentes sobre la consigna,-0.59,,True,,0.49,,True,,2026-04-09 13:51:00,,4,,True,8,,True,False,,False,0,True
106,5,9,2026-05-10 10:55,0.37,-0.32,Terminó la actividad con seguridad,Terminó la actividad con seguridad,0.37,,True,,-0.32,,True,,2026-05-10 10:55:00,,5,,True,9,,True,False,,False,0,True
1145,6,10,2026-05-07 10:36,0.26,0.66,Completó una etapa intermedia,Completó una etapa intermedia,0.26,,True,,0.66,,True,,2026-05-07 10:36:00,,6,,True,10,,True,False,,False,0,True
23,7,11,2026-05-21 13:14,-0.18,0.45,Completó una etapa intermedia,Completó una etapa intermedia,-0.18,,True,,0.45,,True,,2026-05-21 13:14:00,,7,,True,11,,True,False,,False,0,True
4928,8,12,2026-04-26 12:33,0.44,0.46,Recibió una devolución positiva,Recibió una devolución positiva,0.44,,True,,0.46,,True,,2026-04-26 12:33:00,,8,,True,12,,True,False,,False,0,True
5727,9,1,2026-05-14 16:59,0.97,0.95,Avanzó sin mayores dificultades,Avanzó sin mayores dificultades,0.97,,True,,0.95,,True,,2026-05-14 16:59:00,,9,,True,1,,True,False,,False,0,True
2137,10,2,2026-05-15 09:55,-0.37,0.46,Tuvo dudas persistentes sobre la consigna,Tuvo dudas persistentes sobre la consigna,-0.37,,True,,0.46,,True,,2026-05-15 09:55:00,,10,,True,2,,True,False,,False,0,True
3124,11,3,2026-05-10 17:07,0.07,0.14,Realizó la actividad sin comentarios especiales,Realizó la actividad sin comentarios especiales,0.07,,True,,0.14,,True,,2026-05-10 17:07:00,,11,,True,3,,True,False,,False,0,True
22,12,4,2026-04-01 14:48,-0.50,0.60,Se sintió presionado por el tiempo,Se sintió presionado por el tiempo,-0.5,,True,,0.6,,True,,2026-04-01 14:48:00,,12,,True,4,,True,False,,False,0,True
1616,13,5,2026-05-02 14:07,-0.07,0.14,Revisó materiales del curso,Revisó materiales del curso,-0.07,,True,,0.14,,True,,2026-05-02 14:07:00,,13,,True,5,,True,False,,False,0,True
1301,14,6,2026-05-15 11:47,0.42,0.28,Avanzó sin mayores dificultades,Avanzó sin mayores dificultades,0.42,,True,,0.28,,True,,2026-05-15 11:47:00,,14,,True,6,,True,False,,False,0,True
2135,15,7,2026-04-23 11:51,0.13,0.72,Completó una etapa intermedia,Completó una etapa intermedia,0.13,,True,,0.72,,True,,2026-04-23 11:51:00,,15,,True,7,,True,False,,False,0,True
1876,16,8,2026-05-08 10:13,-0.26,0.23,Realizó la actividad sin comentarios especiales,Realizó la actividad sin comentarios especiales,-0.26,,True,,0.23,,True,,2026-05-08 10:13:00,,16,,True,8,,True,False,,False,0,True
5959,17,9,2026-05-17 08:34,0.98,1.18,Encontró una solución funcional,Encontró una solución funcional,0.98,,True,,1.18,,False,activacion fuera de rango: 1.18,2026-05-17 08:34:00,,17,,True,9,,True,False,,False,1,False
3591,18,10,2026-05-03 16:21,-0.28,0.98,Revisó materiales del curso,Revisó materiales del curso,-0.28,,True,,0.98,,True,,2026-05-03 16:21:00,,18,,True,10,,True,False,,False,0,True
804,19,11,2026-05-03 11:30,0.23,0.72,Completó una etapa intermedia,Completó una etapa intermedia,0.23,,True,,0.72,,True,,2026-05-03 11:30:00,,19,,True,11,,True,False,,False,0,True
3324,20,12,2026-05-20 11:53,0.39,0.65,Recibió una devolución positiva,Recibió una devolución positiva,0.39,,True,,0.65,,True,,2026-05-20 11:53:00,,20,,True,12,,True,False,,False,0,True
2054,21,1,2026-04-07 11:22,-0.31,0.33,No logró completar la actividad a tiempo,No logró completar la actividad a tiempo,-0.31,,True,,0.33,,True,,2026-04-07 11:22:00,,21,,True,1,,True,False,,False,0,True
4834,22,2,2026-05-12 10:22,-0.34,0.67,Tuvo dificultades para avanzar,Tuvo dificultades para avanzar,-0.34,,True,,0.67,,True,,2026-05-12 10:22:00,,22,,True,2,,True,False,,False,0,True
4995,23,3,2026-04-09 16:39,0.54,-0.36,Encontró una solución funcional,Encontró una solución funcional,0.54,,True,,-0.36,,True,,2026-04-09 16:39:00,,23,,True,3,,True,False,,False,0,True
3043,24,4,2026-05-16 15:59,-0.24,0.81,Registró una respuesta breve,Registró una respuesta breve,-0.24,,True,,0.81,,True,,2026-05-16 15:59:00,,24,,True,4,,True,False,,False,0,True
445,25,5,2026-05-26 12:48,0.49,0.28,Terminó la actividad con seguridad,Terminó la actividad con seguridad,0.49,,True,,0.28,,True,,2026-05-26 12:48:00,,25,,True,5,,True,False,,False,0,True
4291,1,6,2026-05-25 15:57,0.38,0.17,Se mostró motivado durante la tarea,Se mostró motivado durante la tarea,0.38,,True,,0.17,,True,,2026-05-25 15:57:00,,1,,True,6,,True,False,,False,0,True
5393,2,7,2026-05-28 09:17,0.45,0.14,Avanzó sin mayores dificultades,Avanzó sin mayores dificultades,0.45,,True,,0.14,,True,,2026-05-28 09:17:00,,2,,True,7,,True,False,,False,0,True
374,3,8,2026-05-19 09:58,0.21,-0.07,Continuó trabajando con apoyo parcial,Continuó trabajando con apoyo parcial,0.21,,True,,-0.07,,True,,2026-05-19 09:58:00,,3,,True,8,,True,True,id_registro duplicado,False,1,False
2792,4,9,2026-04-28 16:11,0.42,0.18,Recibió una devolución positiva,Recibió una devolución positiva,0.42,,True,,0.18,,True,,2026-04-28 16:11:00,,4,,True,9,,True,False,,False,0,True
2273,5,10,2026-05-30 10:50,0.17,-0.03,Completó una etapa intermedia,Completó una etapa intermedia,0.17,,True,,-0.03,,True,,2026-05-30 10:50:00,,5,,True,10,,True,False,,False,0,True
